 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
사이코쇼크	특수	에스퍼			80	100	단일	±0	×	자신의 「특공」과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			특공	방어	11
사이코시프트	변화	에스퍼			－	100	단일	±0	×	자신에게 걸려 있는 「상태이상」을 상대에게 옮긴다．（얼음 불가）					－	－	11
사이코웨이브	특수	에스퍼			－	100	단일	±0	×	자신의 레벨의 0.5～1.5배 사이의 고정 대미지를 준다．					－	－	11
사이코체인지	특수	에스퍼			70	100	단일	±0	×	「유턴」 기술．			유턴		특공	특방	11
사이코커터	물리	에스퍼			70	100	단일	±0	×	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	11
사이코크래시	특수	에스퍼			120	100	단일	±0	×	명중 후，자신의 「방어/특방－1」					특공	특방	11
사이코키네시스	특수	에스퍼			90	100	단일	±0	×	「1할：특방－1」					특공	특방	11
사이코팽	물리	에스퍼			85	100	단일	±0	○	「물기/엄니」 기술．적진의 「벽」을 해제한 후 기술을 내보낸다．	물기/엄니	깨트리기			공격	방어	11
사이코필드	변화	에스퍼			－	－	필드	±0	×	5T 동안 전체 필드를 「사이코필드」 상태로 한다．	필드				－	－	11
섬뜩한주문	특수	에스퍼			80	100	단일	±0	×	「소리」 기술．2T 동안 상대를 「트집」 상태로 한다．	소리				특공	특방	11
순간이동	변화	에스퍼			－	－	자신	－6	×	「유턴」 기술．			유턴		－	－	11
숟가락휘기	변화	에스퍼			－	80	단일	±0	×	「명중－1」					－	－	11
스킬스왑	변화	에스퍼			－	－	단일	±0	×	자신과 상대의 〔특성〕을 뒤바꾼다．		특성변경			－	－	11
스피드스왑	변화	에스퍼			－	－	단일	±0	×	자신과 상대의 「속도」 종족치를 뒤바꾼다．					－	－	11
신경전	특수	에스퍼			30	100	전체	±0	×	「10할：특공－1」					특공	특방	11
신비의힘	특수	에스퍼			70	90	단일	±0	×	「10할：특공＋1」					특공	특방	11
신통력	특수	에스퍼			80	100	단일	±0	×	「1할：풀죽음」					특공	특방	11
싱크로노이즈	특수	에스퍼			120	100	전체	±0	×	「소리」 기술．상대가 자신과 같은 타입일 때，「효과가 굉장」해진다．상대가 자신과 같은 타입이 아니면 실패한다．	소리	상성변경			특공	특방	11
앞서가기	특수	에스퍼			130	－	단일	±0	×	상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．상대가 「미래예지」 상태가 아니면 실패한다．		필중			특공	특방	11
어둠의주술	특수	에스퍼	고스트		130	85	단일	±0	×	「에스퍼」「고스트」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	11
어시스트파워（1P）	특수	에스퍼			20	100	단일	±0	×	자신의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 860）된다．					특공	특방	11
어시스트파워（2P）	특수	에스퍼			40	100	단일	±0	×	자신의 「능력변화：＋」에 비례해 위력이 강화（＋20，최대 860）된다．					특공	특방	11
얼어붙는시선	특수	에스퍼			90	100	단일	±0	×	「1할：얼음」					특공	특방	11
역할	변화	에스퍼			－	－	단일	±0	×	자신의 〔특성〕을 상대와 같은 〔특성〕으로 변경한다．		특성변경			－	－	11
염동력	특수	에스퍼			50	100	단일	±0	×	「1할：혼란」					특공	특방	11
오라윙	특수	에스퍼			80	100	단일	±0	○	급소에 맞기 쉽다（C＋1）．「10할：속도＋1」					특공	특방	11
와이드포스	특수	에스퍼			80	100	단일	±0	×	전체 필드가 「사이코필드」 상태일 때，위력이 강화（1.5배）되고 대상이 「전체」 기술로 변경된다．					특공	특방	11
요가포즈	변화	에스퍼			－	－	자신	±0	×	「공격＋1」					－	－	11
원더룸	변화	에스퍼			－	－	필드	±0	×	5T 동안 전체 필드에 「원더룸」을 전개한다．	룸				－	－	11
자기복원	변화	에스퍼			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	11
잠자기	변화	에스퍼			－	－	자신	±0	×	자신의 HP와 「상태이상」을 모두 회복하고，2T 동안 자신을 「잠듦」 상태로 한다．					－	－	11
중력	변화	에스퍼			－	－	필드	±0	×	5T 동안 전체 필드를 「중력」 상태로 한다．	필드				－	－	11
지연전이	변화	에스퍼			－	－	자신	－5	×	「유턴」 기술．			유턴		－	－	11
지휘	변화	에스퍼			－	－	아군	±0	×	이번 T에 쓴 기술을 다시 한 번 쓰게 할 수 있다．				더블배틀	－	－	11
차륜전	물리	에스퍼	드래곤		200	－	전체	±0	○	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．「에스퍼」「드래곤」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입 필중	추격		공격	방어	11
초승달의기도	변화	에스퍼			－	－	자신	±0	×	아군 전원의 HP를 1/4만큼 회복하고 「상태이상」을 치유한다．		치유 회복			－	－	11
초승달춤	변화	에스퍼			－	－	자신	±0	×	「춤」 기술．자신을 「빈사」 상태로 하고，「죽어내밀기」로 나오는 아군의 HP와 「상태이상」을 전부 회복한다．	자폭 춤	치유 회복			－	－	11
최면술	변화	에스퍼			－	60	단일	±0	×	상대를 「잠듦」 상태로 한다．					－	－	11
치유소원	변화	에스퍼			－	－	자신	±0	×	자신을 「빈사」 상태로 하고，「죽어내밀기」로 나오는 아군의 HP와 「상태이상」을 전부 회복한다．	자폭	치유 회복			－	－	11
치유파동	변화	에스퍼			－	－	단일	±0	×	「파동」 기술．상대의 HP를 1/2만큼 회복한다．	파동				－	－	11
코스믹파워	변화	에스퍼			－	－	자신	±0	×	「방어/특방＋1」					－	－	11
텔레키네시스	변화	에스퍼			－	－	단일	±0	×	상대를 「텔레키네시스」 상태로 한다．					－	－	11
트릭	변화	에스퍼			－	100	단일	±0	×	서로의 「소지품」을 뒤바꾼다．자신과 상대 모두에게 「소지품」이 없다면 실패한다．					－	－	11
트릭룸	변화	에스퍼			－	－	필드	±0	×	5T 동안 전체 필드에 「트릭룸」을 전개한다．	룸				－	－	11
트윈빔	특수	에스퍼			40	100	단일	±0	×	2회 「연속」 기술．	연속				특공	특방	11
파워셰어	변화	에스퍼			－	－	단일	±0	×	상대의 「공격」「특공」 종족치를 자신과 같은 랭크로 한다．					－	－	11
파워스왑	변화	에스퍼			－	－	단일	±0	×	자신과 상대의 「공격」「특공」의 「능력변화」를 뒤바꾼다．					－	－	11
파워트릭	변화	에스퍼			－	－	자신	±0	×	자신의 「공격」과 「방어」 종족치를 뒤바꾼다．					－	－	11
포톤가이저	특수	에스퍼			100	100	단일	±0	×	자신의 공>특공일 때，기술의 분류를 「물리」로 한다．					특공	특방	11
프리즘레이저	특수	에스퍼			160	100	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	11
하트스왑	변화	에스퍼			－	－	단일	±0	×	자신과 상대의 「능력변화」를 뒤바꾼다．					－	－	11
하트스탬프	물리	에스퍼			60	100	단일	±0	○	「3할：풀죽음」					공격	방어	11
환상빔	특수	에스퍼			65	100	단일	±0	×	「1할：혼란」					특공	특방	11
회복봉인	변화	에스퍼			－	100	단일	±0	×	5T 동안 상대를 「회복봉인」 상태로 한다．					－	－	11
거미집	변화	벌레			－	－	단일	±0	×	5T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			－	－	12
공격지령	물리	벌레			90	100	단일	±0	×	급소에 맞기 쉽다（C＋1）．					공격	방어	12
그래스호퍼	물리	벌레			100	85	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	12
꽃가루경단	특수	벌레			90	100	단일	±0	×	「탄/볼」 기술．빗나갔을 때，자신의 HP를 1/2만큼 회복한다．	탄/볼	회복			특공	특방	12
끈적끈적네트	변화	벌레			－	－	적진	±0	×	「대지설치」 기술．적진에 「끈적끈적네트」를 설치한다．	대지설치				－	－	12
나비춤	변화	벌레			－	－	자신	±0	×	「춤」 기술．「특공/특방/속도＋1」	춤				－	－	12
니들러시	물리	벌레			120	100	단일	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	12
달려들기	물리	벌레			50	100	단일	±0	○	「10할：속도－1」					공격	방어	12
대절단	물리	벌레			100	90	단일	±0	○	급소에 맞기 쉽다（C＋1）．					공격	방어	12
더블니들	물리	벌레			25	100	단일	±0	○	2회 「연속」 기술．「2할：독」		연속			공격	방어	12
덤벼들기	물리	벌레			80	100	단일	±0	○	「10할：공격－1」					공격	방어	12
마지막일침	물리	벌레			50	100	단일	±0	○	상대를 쓰러트렸을 때，「공격＋3」					공격	방어	12
만나자마자	물리	벌레			90	100	단일	＋2	○	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	12
매미울음	물리	벌레			100	90	단일	±0	×	날씨가 「쾌청（큰가뭄）」일 때，「필중」 효과가 부여된다．급소에 맞기 쉽다（C＋1）．					공격	방어	12
메가혼	물리	벌레			120	85	단일	±0	○	「뿔」 기술．	뿔				공격	방어	12
바늘미사일	물리	벌레			25	95	단일	±0	×	2～5회 「연속」 기술．		연속			공격	방어	12
반딧불	변화	벌레			－	－	자신	±0	×	「특공＋3」					－	－	12
방어지령	변화	벌레			－	－	자신	±0	×	「방어/특방＋1」					－	－	12
벌레구이	특수	벌레			80	100	단일	±0	×	「3할：화상」					특공	특방	12
벌레되돌리기	변화	벌레			－	－	자신	＋1	×	「벌레」 타입 기술을 반사한다．연속해서 내보내면 실패한다．					－	－	12
벌레먹기	물리	벌레			60	100	단일	±0	×	상대의 「나무열매」를 자신이 먹는다．					공격	방어	12
벌레의대군	물리	벌레			180	70	전체	＋5	×	 필드에 나온 후 2T째가 아니면 실패한다．					공격	방어	12
벌레의야단법석	특수	벌레			90	100	단일	±0	×	「소리」 기술．「1할：특방－1」	소리				특공	특방	12
벌레의저항	특수	벌레			50	100	전체	±0	×	「10할：특공－1」					특공	특방	12
벌레잡기	물리	벌레			130	－	단일	±0	○	상대가 「벌레」 타입이 아니면 실패한다．		필중			공격	방어	12
벌집만들기	물리	벌레			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			공격	방어	12
분노가루	변화	벌레			－	－	단일	±0	×	「가루」 기술．3T 동안 상대를 「도발」 상태로 한다．	가루				－	－	12
분진	변화	벌레			－	－	단일	＋4	×	「가루」 기술．상대를 「분진」 상태로 한다．	가루				－	－	12
뿔로내던지기	물리	벌레			80	100	단일	－7	○	「강제교대」 기술．			강제교대		공격	방어	12
스레드트랩	변화	벌레			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대의 「속도－1」	방어				－	－	12
스트링스톰	특수	벌레			100	70	단일	±0	×	상대를 2～5T 동안 「조이기」 상태로 한다．		조이기			특공	특방	12
시그널빔	특수	벌레			75	100	단일	±0	×	「1할：혼란」					특공	특방	12
시끄러운날갯소리	특수	벌레			120	75	전체	±0	×	「소리」 기술．「2할：혼란」	소리				특공	특방	12
시저크로스	물리	벌레			80	100	단일	±0	○	「칼/검」 기술．	칼/검				공격	방어	12
신의검	물리	벌레			180	－	단일	－3	○	「칼/검」 기술．기술을 내보내기 전에 상대의 공격을 받으면 실패한다．	칼/검				공격	방어	12
실뿜기	변화	벌레			－	95	전체	±0	×	상대의 「속도－2」					－	－	12
엄습하는일격	물리	벌레			70	90	단일	±0	○	「10할：특공－1」					공격	방어	12
엉겨붙기	특수	벌레			20	100	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	12
연속자르기	물리	벌레			40	95	단일	±0	○	「칼/검」 기술．연속해서 명중할 때마다 위력이 강화（2배）된다．（최대 160） 빗나가면 초기화된다．	칼/검				공격	방어	12
왕자의뿔	물리	벌레			120	85	단일	－7	○	「강제교대」 기술．			강제교대		공격	방어	12
유턴	물리	벌레			70	100	단일	±0	○	「유턴」 기술．			유턴		공격	방어	12
은빛바람	특수	벌레			60	100	단일	±0	×	「1할：전능력치＋1」					특공	특방	12
잔상베기	물리	벌레			15	100	단일	＋1	×	「칼/검」 기술．2～5회 「연속」 기술．	칼/검	연속			공격	방어	12
